Text;Size;Color;Angle;Font;Repeat;URL
Android;1;Random;Random;Random;Yes;
ar;1;Random;Random;Random;Yes;
void;1;Random;Random;Random;Yes;
public;1;Random;Random;Random;Yes;
if;1;Random;Random;Random;Yes;
else;1;Random;Random;Random;Yes;
private;1;Random;Random;Random;Yes;
KitKat;1;Random;Random;Random;Yes;
Gingerbread;1;Random;Random;Random;Yes;
boolean;1;Random;Random;Random;Yes;
int;1;Random;Random;Random;Yes;
new;1;Random;Random;Random;Yes;
this;1;Random;Random;Random;Yes;
Jelly Bean;1;Random;Random;Random;Yes;
Lollipop;1;Random;Random;Random;Yes;
Marshmallow;1;Random;Random;Random;Yes;
Oreo;1;Random;Random;Random;Yes;
